Device: PMTC0000   Connection type - First Gray Box  Date: 11/18/2021
Name;ID;Reg ID;Menu;Type;User rights;Nonvolatile;Min value;Max value;Short name;Print format;Name;Value
SM5-6   ;$B;$2D;$1F;u8;AUrS;NV;0;6;homingm0;[DISABLED,Hm 1->0,Hm 0->1,Hm 1->0  Lf 1->0,Hm 1->0  Lf 0->1,Lf 1->0,Lf 0->1];Reference search mode;DISABLED
SM5-6   ;$B;$65;$1F;u32;AUrS;NV;1000000;1073741823;HSearchDist;%u;Reference search distance, steps;1000000
SM5-6   ;$B;$60;$1F;u8;AUS;NV;0;1;SPwr;[OFF,ON];Reference sensors power;ON
SM5-6   ;$B;$63;$1F;u8;AUS;NV;0;3;SPwrAutoOff;[home found,home,left,right];Reference sensors power auto off on;home found
SM5-6   ;$B;$64;$68;u8;ArUrSr;;0;7;switches0;[---,H--,-L-,HL-,--R,H-R,-LR,HLR];Active switches;---
SM5-6   ;$B;$9;$F;u32;ArUrSr;;0;4294967295;Version;%06u;Firmware SM5;201202
SM5-7   ;$C;$FF;$0;;;;;;;;;
SM5-7   ;$C;$10;$0;u8;AUS;NV;0;1;Mode0;[POSITIONING,VELOCITY];Mode;POSITIONING
SM5-7   ;$C;$11;$1;s32;AUS;NV;-2147483648;2147483647;TrgPos0;%d;Target position;0
SM5-7   ;$C;$12;$2;s32;ArUrSr;;-2147483648;2147483647;CurPos0;%d;Current position;0
SM5-7   ;$C;$13;$3;s16;AUS;NV;-20000;20000;v_target;%dHz;Target speed (velocity mode);0
SM5-7   ;$C;$14;$4;u8;AUS;;0;2;status0;[IDLE,RUNNING,TO_HOME,FAILURE];Status;IDLE
SM5-7   ;$C;$FF;$10;;;;;;;;Motor Setup;
SM5-7   ;$C;$1F;$11;u8;AUrS;NV;0;3;usrs0;[1/1,1/2,1/4,1/8];Microstep resolution;1/8
SM5-7   ;$C;$21;$13;u8;AS;NV;0;1;SR;[Disable,Enable];Synchronous rectification;Enable
